observation_date,WANAN,WVNAN,WINAN,WYNAN
1954-10-01,771.1,472.1,1080.4,87.9
1954-11-01,757.3,471.8,1079.6,85.6
1954-12-01,757.5,477.3,1085.6,84.1
1955-01-01,722.9,456.7,1053.4,78.1
1955-02-01,723.5,457.6,1056.8,76.7
1955-03-01,734.8,463.7,1067.4,77.2
1955-04-01,750.9,471.8,1089.0,79.5
1955-05-01,765.7,476.5,1102.1,84.7
1955-06-01,782.8,480.3,1118.6,90.2
1955-07-01,790.9,478.9,1137.0,93.0
1955-08-01,793.7,485.4,1133.9,93.8
1955-09-01,805.1,493.9,1130.5,92.0
1955-10-01,794.6,496.5,1129.1,88.8
1955-11-01,779.0,496.9,1132.3,86.5
1955-12-01,771.5,507.9,1146.7,84.9
1956-01-01,740.9,488.9,1109.0,80.1
1956-02-01,738.3,491.3,1110.5,79.2
1956-03-01,750.3,495.2,1118.5,80.0
1956-04-01,766.2,499.6,1124.8,82.4
1956-05-01,782.0,506.7,1134.5,86.4
1956-06-01,799.7,503.9,1153.5,93.9
1956-07-01,800.7,489.0,1160.0,95.1
1956-08-01,812.5,504.7,1171.4,96.6
1956-09-01,822.7,506.3,1182.8,93.6
1956-10-01,812.0,511.0,1166.6,89.4
1956-11-01,796.5,513.0,1160.1,85.9
1956-12-01,796.1,518.1,1171.4,85.2
1957-01-01,767.7,498.4,1134.0,80.6
1957-02-01,763.7,497.8,1132.5,80.0
1957-03-01,779.5,502.0,1135.9,81.4
1957-04-01,791.2,508.6,1144.0,83.3
1957-05-01,809.5,512.6,1151.2,86.8
1957-06-01,829.1,509.3,1156.9,95.0
1957-07-01,830.1,506.3,1173.0,96.2
1957-08-01,830.7,512.4,1173.4,96.9
1957-09-01,836.2,518.5,1174.6,93.9
1957-10-01,819.4,515.6,1152.7,89.8
1957-11-01,795.8,512.3,1146.4,86.9
1957-12-01,787.2,508.1,1149.3,85.3
1958-01-01,753.5,483.1,1108.5,81.4
1958-02-01,749.9,470.3,1092.3,80.2
1958-03-01,758.0,467.3,1090.3,80.0
1958-04-01,767.1,463.5,1089.9,82.1
1958-05-01,776.9,461.1,1099.7,87.4
1958-06-01,801.5,462.8,1112.2,93.6
1958-07-01,805.8,463.4,1124.7,96.5
1958-08-01,811.1,466.9,1120.5,96.7
1958-09-01,821.7,476.4,1138.1,94.4
1958-10-01,819.2,477.4,1126.4,91.3
1958-11-01,803.9,475.5,1134.6,89.3
1958-12-01,806.3,475.5,1141.3,86.8
1959-01-01,777.5,457.3,1115.8,82.0
1959-02-01,778.8,456.9,1111.2,80.4
1959-03-01,792.7,461.5,1118.7,81.9
1959-04-01,806.4,464.8,1136.2,86.5
1959-05-01,814.9,468.9,1166.4,91.0
1959-06-01,827.6,469.6,1191.3,99.5
1959-07-01,835.5,468.2,1194.8,101.6
1959-08-01,834.6,462.3,1189.6,101.5
1959-09-01,838.0,467.9,1204.2,99.5
1959-10-01,822.5,466.1,1192.0,96.9
1959-11-01,812.5,469.4,1179.6,93.9
1959-12-01,811.4,468.6,1192.6,92.7
1960-01-01,782.2,459.5,1165.5,88.7
1960-02-01,785.4,457.9,1168.5,88.3
1960-03-01,791.9,456.0,1168.9,88.8
1960-04-01,809.8,465.3,1179.0,93.2
1960-05-01,816.8,467.4,1190.3,97.2
1960-06-01,829.7,463.7,1207.8,103.3
1960-07-01,828.9,457.9,1209.5,105.2
1960-08-01,832.1,459.5,1200.4,105.2
1960-09-01,837.5,465.6,1216.1,103.0
1960-10-01,824.3,459.7,1205.3,98.1
1960-11-01,806.7,455.7,1198.3,94.9
1960-12-01,805.6,452.5,1192.7,92.5
1961-01-01,775.1,437.1,1132.0,88.2
1961-02-01,771.2,431.8,1125.2,87.0
1961-03-01,780.2,436.2,1142.5,88.4
1961-04-01,797.5,442.1,1161.0,92.6
1961-05-01,810.7,448.4,1181.0,96.1
1961-06-01,835.2,452.3,1199.0,102.1
1961-07-01,839.2,449.8,1204.2,106.6
1961-08-01,847.5,456.0,1198.3,106.8
1961-09-01,857.2,458.5,1211.3,102.4
1961-10-01,842.9,456.3,1202.1,99.4
1961-11-01,832.5,455.1,1198.3,94.6
1961-12-01,833.2,453.6,1204.1,92.5
1962-01-01,807.2,439.7,1162.9,88.6
1962-02-01,814.1,439.3,1164.3,87.9
1962-03-01,825.2,441.4,1168.0,87.9
1962-04-01,851.7,449.7,1187.6,92.7
1962-05-01,865.0,453.3,1202.4,95.4
1962-06-01,877.7,452.1,1226.0,103.0
1962-07-01,876.4,448.9,1225.2,105.5
1962-08-01,887.4,450.2,1224.6,104.0
1962-09-01,889.7,453.7,1237.9,100.1
1962-10-01,874.7,450.8,1233.1,97.1
1962-11-01,855.1,446.7,1227.5,93.1
1962-12-01,855.4,444.3,1226.8,91.4
1963-01-01,823.8,432.7,1189.2,86.1
1963-02-01,823.8,431.4,1185.9,85.9
1963-03-01,832.7,436.5,1189.6,86.6
1963-04-01,840.3,447.9,1213.9,91.3
1963-05-01,850.9,452.0,1229.7,95.6
1963-06-01,857.9,453.5,1251.6,103.3
1963-07-01,855.8,452.2,1255.8,105.5
1963-08-01,867.5,454.7,1257.1,106.0
1963-09-01,877.1,461.8,1265.1,104.0
1963-10-01,866.2,461.2,1256.4,99.5
1963-11-01,853.7,457.7,1253.9,96.8
1963-12-01,857.9,457.0,1253.5,94.0
1964-01-01,822.4,444.1,1220.4,89.5
1964-02-01,822.8,443.6,1218.2,87.6
1964-03-01,828.6,453.2,1224.1,87.9
1964-04-01,840.1,455.8,1244.1,92.0
1964-05-01,850.2,460.8,1265.4,96.6
1964-06-01,865.4,462.7,1281.9,104.9
1964-07-01,867.0,462.4,1282.2,106.6
1964-08-01,870.8,464.8,1296.6,106.6
1964-09-01,881.3,470.7,1310.8,104.3
1964-10-01,876.7,472.5,1301.4,99.9
1964-11-01,866.3,470.8,1297.9,96.8
1964-12-01,865.9,469.9,1307.7,94.2
1965-01-01,834.7,456.3,1274.2,90.8
1965-02-01,841.3,454.9,1272.3,88.4
1965-03-01,857.8,459.6,1278.2,88.9
1965-04-01,875.8,472.0,1300.8,91.6
1965-05-01,886.5,477.5,1320.1,95.5
1965-06-01,906.5,485.8,1349.9,104.0
1965-07-01,906.2,487.8,1350.6,106.2
1965-08-01,917.7,487.3,1358.5,105.4
1965-09-01,936.1,482.3,1370.1,101.3
1965-10-01,928.4,483.6,1367.7,98.2
1965-11-01,927.0,484.8,1368.9,95.7
1965-12-01,940.0,487.1,1369.4,94.2
1966-01-01,910.5,473.7,1320.6,88.9
1966-02-01,922.4,474.8,1337.4,88.3
1966-03-01,938.7,481.4,1347.9,89.1
1966-04-01,962.2,482.3,1363.7,92.3
1966-05-01,974.6,494.9,1378.2,97.5
1966-06-01,1012.1,507.7,1418.7,105.3
1966-07-01,1007.5,507.7,1407.9,107.0
1966-08-01,1020.3,506.6,1416.0,106.2
1966-09-01,1039.6,504.6,1432.3,103.9
1966-10-01,1028.0,503.2,1432.2,98.0
1966-11-01,1021.5,502.2,1434.7,95.5
1966-12-01,1024.7,502.8,1439.5,94.8
1967-01-01,990.5,488.7,1386.5,91.5
1967-02-01,993.1,488.8,1383.6,90.1
1967-03-01,1006.1,492.9,1399.9,91.6
1967-04-01,1019.9,498.8,1409.7,94.4
1967-05-01,1034.7,500.8,1419.3,98.2
1967-06-01,1065.4,511.5,1453.9,104.4
1967-07-01,1053.2,514.2,1442.1,107.8
1967-08-01,1064.6,508.9,1444.3,107.8
1967-09-01,1083.7,508.9,1459.1,104.6
1967-10-01,1075.7,509.2,1456.1,100.6
1967-11-01,1074.9,510.3,1454.7,98.8
1967-12-01,1082.3,510.6,1457.1,98.3
1968-01-01,1054.0,493.1,1416.2,95.0
1968-02-01,1057.1,494.2,1419.8,94.1
1968-03-01,1070.0,497.7,1424.5,95.4
1968-04-01,1074.9,507.2,1441.7,97.5
1968-05-01,1091.2,511.1,1458.5,102.3
1968-06-01,1115.2,515.8,1490.1,109.5
1968-07-01,1108.0,515.4,1486.5,111.9
1968-08-01,1123.2,515.2,1492.9,112.1
1968-09-01,1131.5,515.2,1504.3,109.2
1968-10-01,1124.1,504.6,1507.2,104.7
1968-11-01,1118.6,515.3,1511.3,102.4
1968-12-01,1123.8,515.6,1512.0,101.2
1969-01-01,1080.3,498.0,1475.1,98.1
1969-02-01,1081.3,498.8,1479.0,97.7
1969-03-01,1104.3,500.7,1482.7,98.5
1969-04-01,1114.3,508.2,1501.2,101.9
1969-05-01,1129.6,515.8,1513.4,106.5
1969-06-01,1150.2,519.9,1544.7,114.7
1969-07-01,1126.9,518.2,1536.9,115.4
1969-08-01,1131.6,517.1,1552.4,116.1
1969-09-01,1143.5,519.2,1560.1,114.6
1969-10-01,1132.7,517.5,1555.5,108.5
1969-11-01,1122.6,517.3,1545.9,105.5
1969-12-01,1124.9,516.8,1554.6,106.1
1970-01-01,1089.3,503.8,1516.8,101.2
1970-02-01,1083.4,501.2,1508.1,100.8
1970-03-01,1084.1,506.5,1514.9,102.3
1970-04-01,1081.0,508.6,1513.3,103.4
1970-05-01,1083.6,515.6,1525.8,107.3
1970-06-01,1096.1,521.9,1544.1,114.4
1970-07-01,1075.5,522.5,1545.5,116.3
1970-08-01,1076.6,520.9,1544.2,116.7
1970-09-01,1083.1,524.8,1558.3,114.4
1970-10-01,1075.6,523.7,1536.2,110.3
1970-11-01,1063.2,523.1,1528.2,106.9
1970-12-01,1060.1,525.4,1529.3,106.5
1971-01-01,1028.1,510.9,1489.3,102.6
1971-02-01,1035.5,508.5,1474.7,101.8
1971-03-01,1044.3,513.3,1480.5,102.7
1971-04-01,1056.5,524.5,1502.2,105.8
1971-05-01,1062.1,529.7,1523.7,109.8
1971-06-01,1082.5,532.4,1541.9,117.9
1971-07-01,1060.4,540.0,1537.4,119.6
1971-08-01,1074.4,534.3,1549.4,119.5
1971-09-01,1087.3,534.2,1557.6,117.3
1971-10-01,1083.9,491.3,1553.5,113.4
1971-11-01,1077.0,489.2,1551.0,111.5
1971-12-01,1080.4,531.3,1544.1,111.2
1972-01-01,1053.0,518.3,1511.9,107.8
1972-02-01,1051.6,517.5,1512.4,108.1
1972-03-01,1070.8,523.9,1520.5,109.9
1972-04-01,1085.5,534.4,1540.4,111.5
1972-05-01,1101.4,541.6,1568.6,115.5
1972-06-01,1125.3,546.2,1602.1,125.2
1972-07-01,1103.3,552.7,1599.7,126.1
1972-08-01,1116.2,547.0,1612.4,126.9
1972-09-01,1125.8,551.9,1624.3,123.8
1972-10-01,1125.2,550.9,1626.2,119.3
1972-11-01,1123.9,551.0,1626.9,117.3
1972-12-01,1118.7,550.3,1624.7,116.5
1973-01-01,1095.1,537.4,1594.4,113.5
1973-02-01,1109.6,537.9,1597.6,113.9
1973-03-01,1127.3,546.5,1610.9,116.1
1973-04-01,1143.6,553.8,1626.3,120.2
1973-05-01,1156.5,561.2,1649.0,125.6
1973-06-01,1176.2,576.0,1682.9,134.6
1973-07-01,1150.6,569.0,1674.0,134.8
1973-08-01,1165.6,569.8,1689.7,136.2
1973-09-01,1180.0,569.8,1697.5,132.9
1973-10-01,1176.3,572.4,1703.9,129.9
1973-11-01,1174.0,573.6,1702.2,128.0
1973-12-01,1171.9,571.7,1697.3,127.7
1974-01-01,1139.7,554.2,1647.8,125.1
1974-02-01,1148.5,551.8,1648.7,125.4
1974-03-01,1160.1,553.8,1657.3,127.2
1974-04-01,1175.8,567.1,1686.1,130.0
1974-05-01,1196.6,573.9,1712.1,134.8
1974-06-01,1222.1,587.4,1734.7,142.5
1974-07-01,1205.0,578.6,1718.3,142.5
1974-08-01,1222.9,580.2,1720.0,144.6
1974-09-01,1238.7,583.6,1737.7,142.3
1974-10-01,1236.9,584.3,1739.8,143.3
1974-11-01,1225.9,580.6,1728.1,140.6
1974-12-01,1216.5,573.6,1710.6,139.2
1975-01-01,1185.7,557.9,1646.3,135.8
1975-02-01,1184.7,555.7,1634.1,134.9
1975-03-01,1200.2,557.9,1631.4,136.0
1975-04-01,1213.3,567.6,1638.8,138.4
1975-05-01,1232.0,575.6,1666.9,144.7
1975-06-01,1245.4,580.3,1686.5,152.8
1975-07-01,1226.6,585.9,1680.8,153.9
1975-08-01,1236.2,577.2,1698.9,154.1
1975-09-01,1250.2,585.4,1713.5,153.8
1975-10-01,1250.7,585.4,1713.8,151.3
1975-11-01,1242.4,583.9,1707.9,148.4
1975-12-01,1240.5,583.3,1702.2,147.5
1976-01-01,1220.5,571.4,1654.5,143.7
1976-02-01,1229.8,575.0,1655.7,143.6
1976-03-01,1245.6,581.2,1674.2,145.1
1976-04-01,1263.0,593.0,1701.3,148.8
1976-05-01,1280.0,610.6,1717.6,155.5
1976-06-01,1298.7,603.0,1742.1,164.4
1976-07-01,1281.5,609.9,1732.6,168.1
1976-08-01,1293.1,586.1,1747.9,167.6
1976-09-01,1317.4,606.9,1771.3,164.8
1976-10-01,1321.5,607.5,1778.3,161.5
1976-11-01,1323.0,607.0,1767.1,158.6
